Module	Tissue	mean_Aged	mean_Young	FC	pvalue
PM5	Muscle	-0.046349932	-0.05095736	0.909582683	0.308429595
PM5	Pancrea	-0.017385932	-0.016699355	1.041113953	0.52830615
PM5	Skin	-0.051631675	-0.052334438	0.986571705	0.493763453
PM5	Small int	0.01279957	0.021587537	0.592914782	0.10508889
PM5	Spinal cord	-0.014913964	-0.014396522	1.035942153	0.688252559
PM5	Spleen	-0.037216713	-0.038613243	0.963832874	0.03193839
PM5	Testis	-0.015392843	-0.014377751	1.070601587	0.640664346
PM5	Thymus	-0.015581552	-0.031217559	0.499127795	0.099357714
PM5	WAT	-0.009029234	-0.001392612	6.483668905	0.007671722
PM6	BAT	-0.01407935	-0.006740304	2.088830044	0.565993607
PM6	Beige fat	-0.028471712	-0.037346246	0.762371444	0.040844354
PM6	Bladder	-0.003202923	0.004732	-0.676864451	0.170312527
PM6	Bone	0.005186035	0.030735046	0.168733585	0.079723261
PM6	Brain	-0.020215049	-0.024198579	0.835381665	0.142877056
PM6	Cerebellum	-0.010604689	-0.01080443	0.981513068	0.733852133
PM6	Colon	-0.028806525	-0.031449453	0.915962673	0.13517994
PM6	Eye	0.035497487	0.018378468	1.931471504	0.017027609
PM6	Heart	-0.031578366	-0.031254824	1.010351754	0.690755978
PM6	Kidney	-0.027169408	-0.026375688	1.030092845	0.361503771
PM6	Liver	-0.028774969	-0.028854294	0.997250834	0.894257384
PM6	Lung	-0.028341368	-0.032891415	0.8616646	0.181692782
PM6	Muscle	0.333935632	0.3165942	1.054774954	0.335111597
PM6	Pancrea	-0.036480842	-0.035789262	1.019323673	0.424538729
PM6	Skin	0.060693438	0.05518528	1.099812078	0.228719395
PM6	Small int	-0.032486205	-0.033075252	0.982190695	0.443004118
PM6	Spinal cord	0.004265791	-0.002081102	-2.049774945	0.007147123
PM6	Spleen	-0.031998305	-0.032339258	0.989456978	0.769405621
PM6	Testis	-0.039179006	-0.037141616	1.054854648	0.167420231
PM6	Thymus	-0.038384221	-0.045180259	0.849579491	0.070817891
PM6	WAT	-0.025215488	-0.024692974	1.021160412	0.590819561
PM7	BAT	-0.029178881	-0.031665938	0.921459543	0.26321427
PM7	Beige fat	-0.0004368	-0.014935472	0.029245828	0.005466432
PM7	Bladder	0.0156318	0.012321216	1.268689714	0.179671376
PM7	Bone	-0.030252907	-0.030277325	0.999193514	0.994811137
PM7	Brain	0.207094412	0.215482424	0.961073333	0.47939203
PM7	Cerebellum	-0.009365765	-0.009658806	0.969660692	0.735202239
